"Filename","LOF_All_Vars","LOF_DOBIN","LOF_PCA","KNN_All_Vars","KNN_DOBIN","KNN_PCA","IFOREST_All_Vars","IFOREST_DOBIN","IFOREST_PCA"
"thyroid_new_thyroid_C3_P02_V08_CNA",0.904504504504504,0.846846846846847,0.754954954954955,0.771171171171171,0.843243243243243,0.711711711711712,0.679279279279279,0.873873873873874,0.648648648648649
"thyroid_new_thyroid_C3_P02_V09_CNA",0.911711711711712,0.969369369369369,0.969369369369369,0.863063063063063,0.965765765765766,0.953153153153153,1,0.998198198198198,0.967567567567568
"thyroid_new_thyroid_C3_P02_V10_CNA",0.805405405405405,0.834234234234234,0.879279279279279,0.751351351351351,0.886486486486487,0.832432432432432,0.816216216216216,0.864864864864865,0.58018018018018
"thyroid_new_thyroid_C3_P05_V01_CNA",0.945945945945946,0.982582582582583,0.96036036036036,0.905705705705706,0.940540540540541,0.958558558558559,0.753753753753754,0.917117117117117,0.757957957957958
"thyroid_new_thyroid_C3_P05_V02_CNA",0.966366366366366,0.896696696696697,0.726126126126126,0.938138138138138,0.957357357357357,0.950750750750751,0.781981981981982,0.984984984984985,0.926726726726727
"thyroid_new_thyroid_C3_P05_V03_CNA",0.896096096096096,0.863663663663664,0.86006006006006,0.846846846846847,0.844744744744745,0.857657657657658,0.641441441441441,0.883483483483483,0.78018018018018
"thyroid_new_thyroid_C3_P05_V04_CNA",0.838438438438438,0.906906906906907,0.948348348348348,0.822822822822823,0.878678678678679,0.875075075075075,0.670870870870871,0.90990990990991,0.829429429429429
"thyroid_new_thyroid_C3_P05_V05_CNA",0.908108108108108,0.923123123123123,0.97957957957958,0.845045045045045,0.867867867867868,0.941141141141141,0.64024024024024,0.790990990990991,0.730930930930931
"thyroid_new_thyroid_C3_P05_V06_CNA",0.844444444444444,0.852852852852853,0.697297297297297,0.88048048048048,0.91051051051051,0.950750750750751,0.785585585585586,0.872072072072072,0.773573573573574
"thyroid_new_thyroid_C3_P05_V07_CNA",0.943543543543544,0.873873873873874,0.89009009009009,0.919519519519519,0.874474474474474,0.943543543543544,0.851051051051051,0.882882882882883,0.854054054054054
